Doculect	Concept	Form	Notes
Pebas	LEAF	semay-nemey	Martius: folia
Pebas	GRASS	vashi	Martius: herba
Pebas	FIRE	feula	Martius: ignis
Pebas	CHILD (YOUNG HUMAN)	laira	Martius: infans
Pebas	LAKE	mettao	Martius: lacus
Pebas	HAND	vinitaily	Martius: manus
Pebas	MOUNTAIN	meussoy	Martius: mons
Pebas	NOSE	vinerro	Martius: nasus
Pebas	BLACK	michalay	Martius: niger
Pebas	CLOUD	euré-euré	Martius: nubes
Pebas	NOT	aanoy	Martius: non
Pebas	EYE	vinimichi	Martius: oculus
Pebas	MOUTH	rito	Martius: os, oris
Pebas	FOOT	vinimotay	Martius: pes
Pebas	ROOT	natay	Martius: radix
Pebas	RED	selourey	Martius: ruber
Pebas	SAND	tencha	Martius: sabulum
Pebas	SUN	wana	Martius: sol
Pebas	HUSBAND	comoley	Martius: vir
Pebas	ONE	tomeu-lay	Martius: 1
Pebas	TWO	nomoira	Martius: 2
Pebas	THREE	tamoimansa	Martius: 3
Pebas	FOUR	namerayo	Martius: 4
Pebas	FIVE	taonella	Martius: 5
Pebas	DOG	nemey	Martius: canis
MiranhaCarapana-Tapuya	WHITE	iháma	Martius: albus
MiranhaCarapana-Tapuya	ANIMAL	thücke	Martius: animal
MiranhaCarapana-Tapuya	WATER	nóhwi	Martius: aqua
MiranhaCarapana-Tapuya	TREE	amühi	Martius: arbor
MiranhaCarapana-Tapuya	HEAR	gakaikaná	Martius: audio
MiranhaCarapana-Tapuya	BIRD	thohóa	Martius: avis
MiranhaCarapana-Tapuya	EAR	găgünorá	Martius: auris
MiranhaCarapana-Tapuya	DRINK	gacköíne	Martius: bibo, ere
MiranhaCarapana-Tapuya	SHORT	retóbbi	Martius: brevis, e
MiranhaCarapana-Tapuya	HAIR	göhossöhú	Martius: capillus
MiranhaCarapana-Tapuya	HEAD	göhóckö	Martius: caput
MiranhaCarapana-Tapuya	FLESH OR MEAT	ganatzúckü	Martius: caro
MiranhaCarapana-Tapuya	NECK	ganömóga	Martius: collum
MiranhaCarapana-Tapuya	LEG	cotzátzo	Martius: crus
MiranhaCarapana-Tapuya	SKIN (HUMAN)	ganütú	Martius: cutis
MiranhaCarapana-Tapuya	TOOTH	gesühi	Martius: dens
MiranhaCarapana-Tapuya	BACK	göthzatüná	Martius: dorsum
MiranhaCarapana-Tapuya	EAT	giratüró	Martius: edo, ere
MiranhaCarapana-Tapuya	I	cui	Martius: ego
MiranhaCarapana-Tapuya	YELLOW	nohóckea	Martius: flavus
MiranhaCarapana-Tapuya	FLOWER	nahiúma	Martius: flos
MiranhaCarapana-Tapuya	RIVER	nai	Martius: fluvius
MiranhaCarapana-Tapuya	LEAF	nahiihi	Martius: folium
MiranhaCarapana-Tapuya	FIRE	thiíhtzĕhŏ	Martius: ignis
MiranhaCarapana-Tapuya	LONG	aínime	Martius: longus, a, um
MiranhaCarapana-Tapuya	BIG	nánzümĕ	Martius: magnus, a, um
MiranhaCarapana-Tapuya	HAND	ganoagá	Martius: manus
MiranhaCarapana-Tapuya	SEA	nanzúmănĭ	Martius: mare
MiranhaCarapana-Tapuya	MOTHER	jatüh	Martius: mater
MiranhaCarapana-Tapuya	MOUNTAIN	nihae	Martius: mons
MiranhaCarapana-Tapuya	DIE	gananüna	Martius: morior
MiranhaCarapana-Tapuya	WOMAN	amí	Martius: mulier
MiranhaCarapana-Tapuya	NOSE	gatzohórĕ	Martius: nasus
MiranhaCarapana-Tapuya	BLACK	seckumé	Martius: niger
MiranhaCarapana-Tapuya	NOT	náni	Martius: non
MiranhaCarapana-Tapuya	NIGHT	dohtzen	Martius: nox
MiranhaCarapana-Tapuya	KILL	catíbuna	Martius: occido
MiranhaCarapana-Tapuya	EYE	gaussö	Martius: oculus
MiranhaCarapana-Tapuya	SMELL (PERCEIVE)	gabáhíne	Martius: olfacio
MiranhaCarapana-Tapuya	MOUTH	gahauoí	Martius: os, oris
MiranhaCarapana-Tapuya	BONE	nackóo	Martius: os, ossis
MiranhaCarapana-Tapuya	SMALL	nánzügä	Martius: parvus, a, um
MiranhaCarapana-Tapuya	FATHER	ámba	Martius: pater
MiranhaCarapana-Tapuya	FEW	honigáka	Martius: paucus, a, um
MiranhaCarapana-Tapuya	FOOT	coitébo	Martius: pes, pedis
MiranhaCarapana-Tapuya	FEATHER	gannó	Martius: pluma
MiranhaCarapana-Tapuya	ROOT	nahqui	Martius: radix
MiranhaCarapana-Tapuya	RED	comomá	Martius: ruber
MiranhaCarapana-Tapuya	BLOOD	gatzegánni	Martius: sanguis
MiranhaCarapana-Tapuya	OLD	ruimáe	Martius: senex
MiranhaCarapana-Tapuya	SNAKE	mahtzó	Martius: serpens
MiranhaCarapana-Tapuya	SUN	máhwarĭ	Martius: sol
MiranhaCarapana-Tapuya	STAR	ickótzŏ	Martius: stella
MiranhaCarapana-Tapuya	FOREST	ócŏwĭ	Martius: sylva
MiranhaCarapana-Tapuya	YOU	úh	Martius: tu
MiranhaCarapana-Tapuya	HUNT	umághantu	Martius: venor, ari
MiranhaCarapana-Tapuya	SEE	gihganá	Martius: video
MiranhaCarapana-Tapuya	HUSBAND	thimae	Martius: vir
MiranhaCarapana-Tapuya	GREEN	miringa	Martius: viridis
MiranhaCarapana-Tapuya	BE ALIVE	nöhcatzú	Martius: vivo
MiranhaCarapana-Tapuya	ONE	zähzāma	Martius: 1
MiranhaCarapana-Tapuya	TWO	inahma	Martius: 2
MiranhaCarapana-Tapuya	THREE	söckössí	Martius: 3
MiranhaCarapana-Tapuya	FOUR	zahihnwá	Martius: 4
MiranhaCarapana-Tapuya	FIVE	jantzücka	Martius: 5
